"",".id","X","site_name","date","year","GPP","GPP_sd","ER","ER_daily_sd_name","K600","K600_daily_sd_name","temp","Q","light","velocity","site_year","light_rel","temp_rel","tQ","Q_95thresh","ID"
"1","nwis_06711565",5721,"nwis_06711565",2010-01-05,2010,6.7124843680864,0.630048813637171,-8.24502163217473,0.981634394158553,14.0897364016867,1.37034557801902,3.69583333333333,2.6411359170625,95.2405,0.164940239375001,"nwis_06711565 2010",0.293046076797269,0.14812959251837,-0.312337632528872,0,"SouthPlatte_CO"
"2","nwis_06711565",5722,"nwis_06711565",2010-01-10,2010,3.83688706225838,0.550579277330427,-5.95897202219806,1.01141877558476,10.8398807395328,1.47643520261471,1.74375,1.93262480775,99.521375,0.146908082859499,"nwis_06711565 2010",0.306217927260144,0.0698897795591182,-0.359300071898016,0,"SouthPlatte_CO"
"3","nwis_06711565",5723,"nwis_06711565",2010-01-11,2010,3.92959291706813,0.554663712069142,-6.5273330502176,1.03525322789198,11.2921620920093,1.46783770842889,2.31458333333333,2.273606840375,102.133916666667,0.155267108960076,"nwis_06711565 2010",0.314256472688677,0.0927688710754842,-0.336698664774482,0,"SouthPlatte_CO"
"4","nwis_06711565",5724,"nwis_06711565",2010-01-12,2010,4.11242238635869,0.556191712601103,-6.58164888616687,1.00339264621728,12.2732027764401,1.42127600886005,2.70208333333333,3.0647087534375,103.783541666667,0.174224371287803,"nwis_06711565 2010",0.319332213937796,0.108299933199733,-0.284261836136661,0,"SouthPlatte_CO"
"5","nwis_06711565",5725,"nwis_06711565",2010-01-13,2010,5.41794287161784,0.60007182104429,-7.07191228954902,0.961676643812708,13.0216803358246,1.34894687002708,3.65625,3.14552975425,100.912791666667,0.175955309864009,"nwis_06711565 2010",0.310499185709618,0.146543086172345,-0.278904755209457,0,"SouthPlatte_CO"
"6","nwis_06711565",5726,"nwis_06711565",2010-01-14,2010,6.15238437792853,0.60738310157544,-7.04723603593412,0.931126295312967,13.1683129792589,1.28322485523631,3.65,2.950851431125,89.6436666666667,0.171594978868688,"nwis_06711565 2010",0.275825146092143,0.146292585170341,-0.291808672771337,0,"SouthPlatte_CO"
"7","nwis_06711565",5727,"nwis_06711565",2010-01-15,2010,5.31796773594624,0.565335725326763,-6.51012327066628,0.908795101879824,11.7131175283159,1.2422811892943,3.26041666666667,2.349118432375,103.64475,0.157887753969032,"nwis_06711565 2010",0.318905165009987,0.130678022712091,-0.331693508871692,0,"SouthPlatte_CO"
"8","nwis_06711565",5728,"nwis_06711565",2010-01-16,2010,5.97375044090203,0.60811153667215,-6.67427439188845,0.954882763334707,12.121448477226,1.271996348119,3.56875,2.3532479725625,103.518625,0.157994038967119,"nwis_06711565 2010",0.318517090226297,0.143036072144289,-0.331419789408258,0,"SouthPlatte_CO"
"9","nwis_06711565",5729,"nwis_06711565",2010-01-17,2010,6.80052438722824,0.610177164001999,-7.25903679058724,0.937511901231299,12.3380080716993,1.18915121326605,4.4625,2.416370944,90.64175,0.1595177020984,"nwis_06711565 2010",0.278896154803249,0.178857715430862,-0.32723579189577,0,"SouthPlatte_CO"
"10","nwis_06711565",5730,"nwis_06711565",2010-01-18,2010,6.48892252220518,0.604750327666949,-6.84962769064346,0.966634539168417,11.4898914765368,1.16695231897519,4.26666666666667,2.393953440125,98.58675,0.158997651001352,"nwis_06711565 2010",0.303342173882887,0.171008684034736,-0.328721697554411,0,"SouthPlatte_CO"
